time	Total Usage
1.38E+09	13372
1.38E+09	3824.7
1.38E+09	3690.7
1.38E+09	3652.3
1.38E+09	3634.2
1.38E+09	3627
1.38E+09	3637.8
1.38E+09	3632.5
1.38E+09	3642.6
1.38E+09	3627.6
1.38E+09	3640.5
1.38E+09	3652.3
1.38E+09	3659.5
1.38E+09	3636.8
1.38E+09	3635.2
1.38E+09	3633.6
1.38E+09	3626.1
1.38E+09	3627.4
1.38E+09	3624.9
1.38E+09	3627.1
1.38E+09	3620.7
1.38E+09	3621.8
1.38E+09	3626
1.38E+09	3622.6
1.38E+09	3624.4
1.38E+09	3617.9
1.38E+09	3619.5
1.38E+09	3613.9
1.38E+09	3640.3
1.38E+09	3633.5
1.38E+09	3619.7
1.38E+09	3609.9
1.38E+09	3626.3
1.38E+09	3612.6
1.38E+09	3617.8
1.38E+09	3616.8
1.38E+09	3613.8
1.38E+09	3619.3
1.38E+09	3623.1
1.38E+09	3609
1.38E+09	3609.7
1.38E+09	3618.1
1.38E+09	3620.8
1.38E+09	3617.7
1.38E+09	3616.9
1.38E+09	3614.4
1.38E+09	3625.1
1.38E+09	3635.7
1.38E+09	3639.6
1.38E+09	3640.1
1.38E+09	3650.7
1.38E+09	3644.9
1.38E+09	3654.7
1.38E+09	3671.3
1.38E+09	3661.6
1.38E+09	3665
1.38E+09	3666.5
1.38E+09	3680.7
1.38E+09	3678.9
1.38E+09	3677.1
1.38E+09	3678.9
1.38E+09	3683.8
1.38E+09	3685.7
1.38E+09	3682.5
1.38E+09	3684.2
1.38E+09	3698.3
1.38E+09	3694.3
1.38E+09	3696.6
1.38E+09	3694.1
1.38E+09	3701.9
1.38E+09	3704.2
1.38E+09	3699.5
1.38E+09	3716.2
1.38E+09	3717.8
1.38E+09	3732.7
1.38E+09	3428.8
1.38E+09	3413.1
1.38E+09	3423
1.38E+09	3420
1.38E+09	3419.6
1.38E+09	3411
1.38E+09	3413.3
1.38E+09	3416.9
1.38E+09	3417.5
1.38E+09	3414.2
1.38E+09	3422.9
1.38E+09	3412.3
1.38E+09	3420
1.38E+09	3416.1
1.38E+09	3420.6
1.38E+09	3423.1
1.38E+09	3419.8
1.38E+09	4440.1
1.38E+09	4268.9
1.38E+09	4273.8
1.38E+09	4276.1
1.38E+09	4275.6
1.38E+09	4269.1
1.38E+09	4264.9
1.38E+09	4273.6
1.38E+09	4264.3
1.38E+09	4259
1.38E+09	4251.5
1.38E+09	4256.9
1.38E+09	4250.8
1.38E+09	4253.6
1.38E+09	4248.8
1.38E+09	4255.7
1.38E+09	4257.1
1.38E+09	4252.8
1.38E+09	4251.3
1.38E+09	4260.8
1.38E+09	4265.5
1.38E+09	4321.7
1.38E+09	4290.4
1.38E+09	4301.4
1.38E+09	4285
1.38E+09	4273.6
1.38E+09	4266
1.38E+09	4266.2
1.38E+09	4263.8
1.38E+09	4257.1
1.38E+09	4248.7
1.38E+09	4269.5
1.38E+09	4308.8
1.38E+09	4281
1.38E+09	4263.4
1.38E+09	4252.1
1.38E+09	4251.3
1.38E+09	14082
1.38E+09	4259.3
1.38E+09	4272
1.38E+09	4264.9
1.38E+09	4267.2
1.38E+09	4320.8
1.38E+09	4304.4
1.38E+09	4307.2
1.38E+09	4296.7
1.38E+09	4267.2
1.38E+09	4267.5
1.38E+09	4269.7
1.38E+09	4261.7
1.38E+09	4260.1
1.38E+09	4255.4
1.38E+09	4260.9
1.38E+09	4347.8
1.38E+09	4300.6
1.38E+09	4300.3
1.38E+09	4257.4
1.38E+09	4246.5
1.38E+09	4247.3
1.38E+09	4255.5
1.38E+09	4257.5
1.38E+09	4255.9
1.38E+09	4259.1
1.38E+09	4257.6
1.38E+09	4385.5
1.38E+09	4300
1.38E+09	4319.7
1.38E+09	4261.4
1.38E+09	4265.9
1.38E+09	4256
1.38E+09	4251.8
1.38E+09	4250.1
1.38E+09	4259.9
1.38E+09	4245.9
1.38E+09	4251.9
1.38E+09	4410.9
1.38E+09	4317.4
1.38E+09	4286
1.38E+09	4246.6
1.38E+09	4260.2
1.38E+09	4258.3
1.38E+09	4266.3
1.38E+09	4263.6
1.38E+09	4258.8
1.38E+09	4262.1
1.38E+09	4282.8
1.38E+09	4445
1.38E+09	4380.4
1.38E+09	4306.8
1.38E+09	4248.2
1.38E+09	4246.3
1.38E+09	4251.2
1.38E+09	4250.3
1.38E+09	4249.8
1.38E+09	4250.6
1.38E+09	4251.6
1.38E+09	4299.7
1.38E+09	4461.4
1.38E+09	4388
1.38E+09	4199.1
1.38E+09	4145.7
1.38E+09	4143
1.38E+09	4149
1.38E+09	4147.8
1.38E+09	4155.7
1.38E+09	4156.2
1.38E+09	4151.6
1.38E+09	4033.9
1.38E+09	3641.4
1.38E+09	3608.9
1.38E+09	3563
1.38E+09	3564.5
1.38E+09	3571.1
1.38E+09	3563
1.38E+09	3542.2
1.38E+09	3573.7
1.38E+09	3538.2
1.38E+09	3587.2
1.38E+09	3528.2
1.38E+09	3569.5
1.38E+09	3560.1
1.38E+09	3528.4
1.38E+09	3572.3
1.38E+09	3546.8
1.38E+09	3547
1.38E+09	3511.5
1.38E+09	3417.2
1.38E+09	3419.7
1.38E+09	3427
1.38E+09	3425.5
1.38E+09	3419.7
1.38E+09	3422.6
1.38E+09	3419.3
1.38E+09	3446.1
1.38E+09	3645.2
1.38E+09	3557.4
1.38E+09	3549.5
1.38E+09	3551.6
1.38E+09	3523.7
1.38E+09	3554.6
1.38E+09	3533.4
1.38E+09	3543
1.38E+09	3549.5
1.38E+09	3537.2
1.38E+09	3562.9
1.38E+09	3543.6
1.38E+09	3526.7
1.38E+09	3559.4
1.38E+09	3529.1
1.38E+09	3553.8
1.38E+09	3526.5
1.38E+09	3468.5
