time,Total Usage,Microwave,Washing Machine,Oven Unit,Stove Unit,1st Floor AHU,Refrigerator,Dishwasher,PV Solar Generation (1),PV Solar Generation (2)
1.38E+09,3833.1,1.8,176.3,5.3,0.8,378.5,349,2.3,0.1,0.1
1.38E+09,3824.6,1.8,175.8,5.3,0.9,378.1,344.8,2.3,0.2,0.1
1.38E+09,3824.2,1.9,172.8,5.4,1,378.4,345.2,2.3,0.1,0.1
1.38E+09,3832,1.8,178.3,5.3,0.8,377.9,344.9,2.3,0.1,0.1
1.38E+09,3834.1,1.8,177.3,5.4,0.8,377.7,347.6,2.3,0.1,0.1
1.38E+09,3822.6,1.9,172.3,5.5,0.9,377.9,343.8,2.4,0.1,0.1
1.38E+09,3825,1.9,174.3,5.4,0.8,378.5,345.1,2.4,0.2,0.1
1.38E+09,3825,1.8,173.1,5.4,0.8,378.1,344.8,2.4,0.2,0.1
1.38E+09,3834.4,1.8,173.8,5.4,0.9,378.7,348.9,2.3,0.1,0.1
1.38E+09,3833.7,1.9,170.9,5.3,0.8,379,348.4,2.3,0.1,0.1
1.38E+09,3836.2,1.8,175.4,5.3,0.9,378.5,347.4,2.3,0.1,0.1
1.38E+09,3844.6,1.9,175.7,5.3,0.8,378,344.2,2.3,0.1,0.1
1.38E+09,3840.8,1.9,181.9,5.3,0.9,378.7,345.3,2.5,0.1,0.1
1.38E+09,3853.4,1.9,192.1,5.4,0.8,377.7,350.5,2.3,0.1,0.1
1.38E+09,3856,1.8,199.4,5.3,0.9,377.6,353.9,2.4,0.1,0.1
1.38E+09,3867.6,1.8,206.1,5.5,0.9,378.5,352.3,2.3,0.2,0.1
1.38E+09,3908,1.8,213,5.4,0.9,379.1,385,2.4,0.2,0.1
1.38E+09,4016.4,1.8,222.5,5.3,0.8,379.2,488.6,2.4,0.1,0.1
1.38E+09,4076.2,2,230.4,5.3,0.8,379.4,529.4,2.4,0.1,0.1
1.38E+09,4128.3,1.9,229,5.1,0.8,379.7,590.1,2.3,0.1,0.1
1.38E+09,4205.7,2.1,240.7,5.3,0.8,379.4,654.6,2.4,0.1,0.1
1.38E+09,4269.9,2,242.3,5.1,0.7,379.5,721,2.3,0.1,0.1
1.38E+09,4313,2.1,248.2,5.1,0.7,379.1,760.8,2.4,0.1,0.1
1.38E+09,4340.7,2,252.4,5,0.6,379.3,784.3,2.4,0.1,0.1
1.38E+09,4359.6,2.1,258.2,5.2,0.7,380.4,791.6,2.3,0.1,0.1
1.38E+09,4350.4,2.1,261.3,5.1,0.6,379.7,787.9,2.3,0.1,0.1
1.38E+09,4356.3,2,264.3,5.1,0.7,379.9,787.2,2.3,0.2,0.1
1.38E+09,4349.6,2,271.6,5.1,0.7,379.7,778.5,2.3,0.2,0.1
1.38E+09,4351.5,2,274.1,5.1,0.7,379.3,775.5,2.3,0.2,0.1
1.38E+09,4353.8,2,280.1,5.1,0.8,378.8,774.6,2.2,0.1,0.1
1.38E+09,4346.5,2,279,5.2,0.8,378.6,770.9,2.3,0.1,0.1
1.38E+09,4079.1,1.8,284.4,5.2,0.9,379.6,490.2,2.4,0.1,0.1
1.38E+09,3955.5,1.7,286.6,5.5,1,378.3,350.8,2.3,0.1,0.1
1.38E+09,3941.7,1.7,287.2,5.5,0.9,379,351.7,2.5,0.1,0.1
1.38E+09,3936.4,1.7,294.3,5.5,1,379.1,347.7,2.5,0.1,0.1
