time	Total Usage	Microwave	Washing Machine
1381371066	3688.2	1.8	70.3
1381371067	3685.9	1.8	70.4
1381371068	3688.7	1.7	70.6
1381371069	3688.8	1.6	70.3
1381371070	3693.9	1.8	70.1
1381371071	3687	1.7	70.2
1381371072	3685.7	1.8	70.2
1381371073	3694.6	1.8	70.1
1381371074	3688.3	1.7	70
1381371075	5115.6	0.4	71.5
1381371076	4512.6	0.4	51.9
1381371077	4517	0.3	52.3
1381371078	4472.6	0.5	50
1381371079	4405.7	0.6	49.4
1381371080	4401.8	0.6	48.4
1381371081	4415.2	0.7	50.6
1381371082	4447.6	0.7	53.3
1381371083	4432.1	0.8	55.9
1381371084	4423.7	0.6	49.9
1381371085	4415.1	0.7	49
1381371086	4345	0.8	58.5
1381371087	3826.2	1.7	176.6
1381371088	3786	1.8	128.4
1381371089	3801.3	1.8	153.5
1381371090	3769	1.8	115.7
1381371091	3735.8	1.8	83.3
1381371092	3735.1	1.8	81.1
1381371093	3741.8	1.8	84.9
1381371094	3750.2	1.8	92.6
1381371095	3755.5	1.6	99.2
1381371096	3713.7	1.8	62.3
1381371097	3718	1.8	67.4
1381371098	3734.6	1.8	69.9
1381371099	3726.7	1.8	71.8
1381371100	3720.5	1.7	72.7
1381371101	3668.5	1.8	13.1
1381371102	3670.8	1.8	9.3
1381371103	3668.9	1.8	9.2
1381371104	3695.9	1.7	33.1
1381371105	3745.5	1.7	89.6
1381371106	3725	1.7	61.6
1381371107	3726.2	1.7	65.2
1381371108	3709.3	1.7	56.7
1381371109	3692.7	1.9	40.6
1381371110	3686.7	1.7	35.5
1381371111	3680.1	1.7	32.6
1381371112	3683.7	1.8	38.6
1381371113	3710.1	1.8	66.2
1381371114	3666	1.8	20.7
1381371115	3671.1	1.8	25.2
1381371116	3667.9	1.7	26.4
1381371117	3673.9	1.7	26.6
1381371118	3682.6	1.8	27.6
1381371119	3680.4	1.7	14
1381371120	3664.2	1.7	9.3
1381371121	3661.9	1.8	11.1
1381371122	3736.8	1.7	93.4
1381371123	3693.5	1.7	48.2
1381371124	3702.8	1.7	61.8
1381371125	3724.3	1.7	65.2
1381371126	3706.4	1.7	68.7
1381371127	3716.2	1.8	71.1
1381371128	3703.3	1.7	60.7
1381371129	3706.5	1.6	57.4
1381371130	3704.5	1.8	66.5
1381371131	3677.5	1.7	40
1381371132	3679.6	1.7	34.9
1381371133	3715.1	1.7	74.7
1381371134	3657.8	1.8	19.7
1381371135	3664.7	1.7	24
1381371136	3670.7	1.7	27.2
1381371137	3663.9	1.7	27.1
1381371138	3666	1.7	26.9
1381371139	3696.7	1.8	54.4
1381371140	3749.5	1.7	92.3
1381371141	3753.3	1.8	106
1381371142	3750.6	1.6	104.2
1381371143	3738.8	1.8	92.2
1381371144	3741.6	1.6	96.6
1381371145	3748.2	1.8	107
1381371146	3759.2	1.8	119.8
1381371147	3747.6	1.8	101.3
1381371148	3723.7	1.6	80.8
1381371149	3738.7	2	82
1381371150	3724.8	1.9	89.4
1381371151	6136	0.5	90.2
1381371152	11067.9	2.2	83.7
1381371153	3736.9	1.8	84
1381371154	3739.9	1.8	82.3
1381371155	3730.8	1.9	81.8
1381371156	3734.2	1.7	83.6
1381371157	3728.3	1.9	85
1381371158	3726.6	1.8	82.3
1381371159	3730.3	1.8	82.2
1381371160	3726.6	1.8	81.5
1381371161	3730.1	1.8	81.1
1381371162	3731.3	1.7	81.1
1381371163	3699.1	1.8	81.4
1381371164	3493.9	1.9	81.5
1381371165	3492.7	1.8	81.3
1381371166	3489.1	1.8	81
1381371167	3491.6	1.8	80.4
1381371168	3490.2	1.7	80.5
1381371169	3489.2	1.5	70.2
1381371170	3464.9	1.7	51.8
1381371171	3470.3	1.8	58
1381371172	3467.4	1.9	61.8
1381371173	3472.6	1.9	63.4
1381371174	3469.7	1.9	64.4
1381371175	3475.4	1.8	64.6
1381371176	3486.3	1.9	64.2
1381371177	3473.9	1.9	65.4
1381371178	3474.6	1.9	65.6
1381371179	3474.4	1.8	65
1381371180	3476.2	1.7	65.3
1381371181	3476.5	1.8	65.5
1381371182	3496.1	1.8	65
1381371183	3477.6	1.7	65.1
1381371184	3473	1.9	65.7
1381371185	3472.6	1.9	64.9
1381371186	3476.1	1.8	65
1381371187	3472.6	1.8	65.9
1381371188	3470.1	1.7	62.6
1381371189	3548.8	1.9	138
1381371190	3638.4	1.6	229.6
1381371191	3728.2	1.7	314.2
1381371192	3777.5	1.7	366.3
1381371193	3748	1.7	337.1
1381371194	3715.2	1.7	309.7
1381371195	3699.7	1.7	294.4
1381371196	3682.1	1.7	270.4
1381371197	3678.7	1.8	249.9
1381371198	3640.8	1.7	227.2
1381371199	3631.5	1.7	215.6
1381371200	3614.9	1.8	198.6
1381371201	3600.8	1.8	181.9
1381371202	3585.3	1.8	159.2
1381371203	3567.7	1.8	149.2
1381371204	3555	1.8	135.9
1381371205	3538.3	1.8	130.9
1381371206	3544.3	1.8	127.7
1381371207	3542	1.8	122.6
1381371208	3538.3	1.8	121.7
1381371209	3551.9	1.9	130.6
1381371210	3602.9	1.8	187.9
1381371211	3593.1	1.8	175.9
1381371212	3573.3	1.8	155.2
1381371213	3560	1.8	137.5
1381371214	3556.6	1.8	135.2
1381371215	3532.3	1.8	122.7
1381371216	3464.2	1.9	48.5
1381371217	3460.4	1.9	48.4
1381371218	3464.6	1.9	48.2
1381371219	3460.2	1.8	48.1
1381371220	3448.9	1.8	30.6
1381371221	3435	1.8	19.2
1381371222	3440.8	1.8	22.8
